Mixer name: 'kalama-qrd-snd-card'
Number of controls: 218
ctl	type	num	name                                     value
104	ENUM	1	RX INT2_1 MIX1 INP0                      ZERO
105	ENUM	1	RX INT2_1 MIX1 INP1                      ZERO
106	ENUM	1	RX INT2_1 MIX1 INP2                      ZERO
107	ENUM	1	RX INT0_1 INTERP                         ZERO
108	ENUM	1	RX INT1_1 INTERP                         ZERO
109	ENUM	1	RX INT2_1 INTERP                         ZERO
110	ENUM	1	RX INT0_2 INTERP                         ZERO
111	ENUM	1	RX INT1_2 INTERP                         ZERO
112	ENUM	1	RX INT2_2 INTERP                         ZERO
113	ENUM	1	RX INT0 MIX2 INP                         ZERO
114	ENUM	1	RX INT1 MIX2 INP                         ZERO
115	ENUM	1	RX INT2 MIX2 INP                         ZERO
116	BOOL	1	RX INT2_1 VBAT RX AUX VBAT Enable        Off
117	INT	1	RX_RX0 Digital Volume                    84
118	INT	1	RX_RX1 Digital Volume                    84
119	INT	1	RX_RX2 Digital Volume                    84
120	INT	1	RX_RX0 Mix Digital Volume                84
121	INT	1	RX_RX1 Mix Digital Volume                84
122	INT	1	RX_RX2 Mix Digital Volume                84
123	BOOL	1	RX_COMP1 Switch                          Off
124	BOOL	1	RX_COMP2 Switch                          Off
125	INT	1	RX0 FIR Coeff Num                        0
126	INT	1	RX1 FIR Coeff Num                        0
127	ENUM	1	HPH Idle Detect                          OFF
128	ENUM	1	RX_EAR Mode                              OFF
129	ENUM	1	RX_FIR Filter                            OFF
130	ENUM	1	RX_HPH HD2 Mode                          OFF
131	ENUM	1	RX_HPH_PWR_MODE                          ULP
132	ENUM	1	RX_GSM mode Enable                       OFF
133	BOOL	1	RX_Softclip Enable                       Off
134	BOOL	1	AUX_HPF Enable                           On
135	INT	1	IIR0 INP0 Volume                         54
136	INT	1	IIR0 INP1 Volume                         84
137	INT	1	IIR0 INP2 Volume                         84
138	INT	1	IIR0 INP3 Volume                         84
139	INT	1	IIR1 INP0 Volume                         84
140	INT	1	IIR1 INP1 Volume                         84
141	INT	1	IIR1 INP2 Volume                         84
142	INT	1	IIR1 INP3 Volume                         84
143	BOOL	1	IIR0 Enable Band1                        Off
144	BOOL	1	IIR0 Enable Band2                        Off
145	BOOL	1	IIR0 Enable Band3                        Off
146	BOOL	1	IIR0 Enable Band4                        Off
147	BOOL	1	IIR0 Enable Band5                        Off
148	BOOL	1	IIR1 Enable Band1                        Off
149	BOOL	1	IIR1 Enable Band2                        Off
150	BOOL	1	IIR1 Enable Band3                        Off
151	BOOL	1	IIR1 Enable Band4                        Off
152	BOOL	1	IIR1 Enable Band5                        Off
153	BYTE	20	IIR0 Band1                                00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00
154	BYTE	20	IIR0 Band2                                00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00
155	BYTE	20	IIR0 Band3                                00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00
156	BYTE	20	IIR0 Band4                                00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00
157	BYTE	20	IIR0 Band5                                00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00
158	BYTE	20	IIR1 Band1                                00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00
159	BYTE	20	IIR1 Band2                                00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00
160	BYTE	20	IIR1 Band3                                00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00
161	BYTE	20	IIR1 Band4                                00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00
162	BYTE	20	IIR1 Band5                                00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00
163	BYTE	404	RX0 FIR Coeff Group0                      00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00
164	BYTE	404	RX0 FIR Coeff Group1                      00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00
165	BYTE	404	RX1 FIR Coeff Group0                      00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00
166	BYTE	404	RX1 FIR Coeff Group1                      00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00
167	BOOL	1	VA_AIF1_CAP Mixer DEC0                   Off
168	BOOL	1	VA_AIF1_CAP Mixer DEC1                   Off
169	BOOL	1	VA_AIF1_CAP Mixer DEC2                   Off
170	BOOL	1	VA_AIF1_CAP Mixer DEC3                   Off
171	BOOL	1	VA_AIF2_CAP Mixer DEC0                   Off
172	BOOL	1	VA_AIF2_CAP Mixer DEC1                   Off
173	BOOL	1	VA_AIF2_CAP Mixer DEC2                   Off
174	BOOL	1	VA_AIF2_CAP Mixer DEC3                   Off
175	BOOL	1	VA_AIF3_CAP Mixer DEC0                   Off
176	BOOL	1	VA_AIF3_CAP Mixer DEC1                   Off
177	BOOL	1	VA_AIF3_CAP Mixer DEC2                   Off
178	BOOL	1	VA_AIF3_CAP Mixer DEC3                   Off
179	ENUM	1	VA DMIC MUX0                             ZERO
180	ENUM	1	VA DMIC MUX1                             ZERO
181	ENUM	1	VA DMIC MUX2                             ZERO
182	ENUM	1	VA DMIC MUX3                             ZERO
183	ENUM	1	VA SMIC MUX0                             ZERO
184	ENUM	1	VA SMIC MUX1                             ZERO
185	ENUM	1	VA SMIC MUX2                             ZERO
186	ENUM	1	VA SMIC MUX3                             ZERO
187	ENUM	1	VA DEC0 MUX                              MSM_DMIC
188	ENUM	1	VA DEC1 MUX                              MSM_DMIC
189	ENUM	1	VA DEC2 MUX                              MSM_DMIC
190	ENUM	1	VA DEC3 MUX                              MSM_DMIC
191	INT	1	VA_DEC0 Volume                           84
192	INT	1	VA_DEC1 Volume                           84
193	INT	1	VA_DEC2 Volume                           84
194	INT	1	VA_DEC3 Volume                           84
195	BOOL	1	LPI Enable                               Off
196	BOOL	1	VA_SWR_DMIC Enable                       Off
197	ENUM	1	VA_DEC0 MODE                             ADC_DEFAULT
198	ENUM	1	VA_DEC1 MODE                             ADC_DEFAULT
199	ENUM	1	VA_DEC2 MODE                             ADC_DEFAULT
200	ENUM	1	VA_DEC3 MODE                             ADC_DEFAULT
201	BOOL	1	BT SOC status                            Off
202	BOOL	1	BT set feedback channel                  Off
203	BYTE	80	CODEC_DMA-LPAIF_RXTX-RX-0 Channel Map     00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00
204	ENUM	1	PM_QOS Vote                              Disable
205	BOOL	1	LPI PCM Logging Enable                   Off
206	ENUM	1	VOTE Against Sleep                       Disable
207	BYTE	80	CODEC_DMA-LPAIF_RXTX-RX-1 Channel Map     00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00
208	BYTE	80	CODEC_DMA-LPAIF_RXTX-RX-2 Channel Map     00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00
209	BYTE	80	CODEC_DMA-LPAIF_RXTX-RX-3 Channel Map     00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00
210	BYTE	80	CODEC_DMA-LPAIF_RXTX-RX-5 Channel Map     01  00  00  00  01  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00
211	BYTE	80	CODEC_DMA-LPAIF_RXTX-TX-3 Channel Map     00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00
212	BYTE	80	CODEC_DMA-LPAIF_RXTX-TX-4 Channel Map     00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00
213	BYTE	80	CODEC_DMA-LPAIF_VA-TX-0 Channel Map       00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00
214	BYTE	80	CODEC_DMA-LPAIF_VA-TX-1 Channel Map       00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00
215	BYTE	80	CODEC_DMA-LPAIF_VA-TX-2 Channel Map       00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00
216	BYTE	80	SLIM-DEV1-RX-7 Channel Map                01  00  00  00  9d  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00
217	BYTE	80	SLIM-DEV1-TX-7 Channel Map                01  00  00  00  9f  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00
